brand,product_name,month,category,retail_price,discounted_price,discount_percent,is_FK_Advantage_product,product_rating,overall_rating
Vishudh,Vishudh Printed Women's Straight Kurta,April 2016,Vishudh Printed Women's Straight Kurta,899.0,449.0,50.055617352614014,False,,
Behringer,Behringer Xenyx 502 Analog Sound Mixer,April 2016,Behringer Xenyx 502 Analog Sound Mixer,10000.0,6600.0,34.0,False,,
Vishudh,Vishudh Printed Women's Straight Kurta,April 2016,Vishudh Printed Women's Straight Kurta,899.0,449.0,50.055617352614014,False,,
Vishudh,Vishudh Printed Women's Straight Kurta,April 2016,Vishudh Printed Women's Straight Kurta,899.0,449.0,50.055617352614014,False,,
MASARA,MASARA Solid Women's Straight Kurta,April 2016,MASARA Solid Women's Straight Kurta,1399.0,599.0,57.18370264474625,False,,
MASARA,MASARA Solid Women's Straight Kurta,April 2016,MASARA Solid Women's Straight Kurta,1399.0,550.0,60.686204431736954,False,,
Roadster,Roadster Men's Zipper Solid Cardigan,April 2016,Clothing,1399.0,699.0,50.03573981415297,False,3.6,3.6
Vishudh,Vishudh Printed Women's Straight Kurta,April 2016,Vishudh Printed Women's Straight Kurta,999.0,499.0,50.050050050050054,False,,
Noor,Noor Embroidered Women's Straight Kurta,April 2016,Noor Embroidered Women's Straight Kurta,1649.0,849.0,48.51425106124924,False,,
MASARA,MASARA Solid Women's Straight Kurta,April 2016,MASARA Solid Women's Straight Kurta,1399.0,599.0,57.18370264474625,False,,
Vishudh,Vishudh Printed Women's Straight Kurta,April 2016,Vishudh Printed Women's Straight Kurta,899.0,449.0,50.055617352614014,False,,
Libas,Libas Printed Women's A-line Kurta,April 2016,Libas Printed Women's A-line Kurta,899.0,449.0,50.055617352614014,False,,
Libas,Libas Printed Women's Anarkali Kurta,April 2016,Libas Printed Women's Anarkali Kurta,1849.0,924.0,50.02704164413196,False,,
MASARA,MASARA Solid Women's Straight Kurta,April 2016,MASARA Solid Women's Straight Kurta,999.0,499.0,50.050050050050054,False,,
HRS,HRS ULTIMATE BOY Chest Pads,April 2016,Sports & Fitness,440.0,395.0,10.227272727272728,False,,
Vermello,Vermello Men Casual Brown Genuine Leather Belt,April 2016,"Bags, Wallets & Belts",1495.0,795.0,46.82274247491639,False,,
HRS,HRS CLUB BOY Thigh Pads,April 2016,Sports & Fitness,280.0,250.0,10.714285714285714,False,,
Ligans NY,Ligans NY Men Formal Black Genuine Leather Belt,April 2016,"Bags, Wallets & Belts",795.0,695.0,12.578616352201259,False,,
Elegance,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,April 2016,Home Furnishing,1899.0,899.0,52.6592943654555,False,,
Liza,Liza Women Wedges,April 2016,Footwear,1990.0,1393.0,30.0,False,,
HRS,HRS ULTIMATE BOY Elbow Pads,April 2016,Sports & Fitness,250.0,230.0,8.0,False,,
Sathiyas,Sathiyas Cotton Bath Towel,April 2016,Baby Care,600.0,449.0,25.166666666666664,False,,
HRS,HRS ULTIMATE MEN Chest Pads,April 2016,Sports & Fitness,440.0,395.0,10.227272727272728,False,,
SANTOSH ROYAL FASHION,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,June 2016,Home Furnishing,2699.0,1299.0,51.87106335679882,False,,
CASEDEAL,CASEDEAL Microsoft Nokia lumia x2 Back Panel,June 2016,Mobiles & Accessories,1999.0,380.0,80.99049524762381,False,,
Mario Gotze,Mario Gotze Women's Printed Casual Orange Shirt,June 2016,Clothing,1499.0,899.0,40.0266844563042,False,,
